dpclk frequence address f3: 00040c01
ch\de	d0-h0	d1-h2	d2-h4	d3-h6	d4-h8	d5-ha	d6-hc	d7-he	d8-h10	d9-h12	d10-h14	d11-h16	d12-h18	d13-h1a	d14-h1c	d15-h1e	d16-h20	d17-h22	d18-h24	d19-h26	d20-h28	d21-h2a	d22-h2c	d23-h2e	d24-h30	d25-h32	d26-h34	d27-h36	d28-h38	d29-h3a	d30-h3c	d31-h3e	d0-h0	d1-h2	d2-h4	d3-h6	d4-h8	d5-ha	d6-hc	d7-he	d8-h10	d9-h12	d10-h14	d11-h16	d12-h18	d13-h1a	d14-h1c	d15-h1e	d16-h20	d17-h22	d18-h24	d19-h26	d20-h28	d21-h2a	d22-h2c	d23-h2e	d24-h30	d25-h32	d26-h34	d27-h36	d28-h38	d29-h3a	d30-h3c	d31-h3e
c0	2331648	2331648	2331648	2331648	1614664	1166791	1051444	435896	58245	611	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	136	8204	178040	363779	717232	1161006	1169957	1298988	1555795	1966541	2202906	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648
c1	2331648	2331648	2331648	2331648	2224337	1181552	1165824	1165691	469026	43504	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	10061	210421	616988	1081636	1166198	1176477	1337649	1812852	2305478	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648
c2	2331648	2331648	2331648	1758857	1171913	1052629	335070	61722	3381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	292	6537	70892	321360	470946	770941	954862	1270506	1880037	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648
c3	2331648	2331648	2331648	1500004	756193	343005	10375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	2142	27685	187039	568946	1111695	1217830	1579728	2020142	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648
c4	2331648	2331648	2331648	2331648	1654130	1168148	859763	276559	22536	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	6323	127218	524260	797089	1021133	1050675	1406777	1729488	2236886	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648
c5	2331648	2331648	2331648	1790097	1024717	805420	308752	6495	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	6893	69140	323643	612544	931568	1192657	1840422	2327811	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648
c6	2331648	2331648	2331648	2331648	1889792	1167458	1061727	196405	15479	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	1674	46082	240103	896242	1177761	1315223	1419959	2051017	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648
c7	2331648	2331648	2331648	2331648	2327472	1253255	1166029	695252	214347	19739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	183	9665	144122	652107	918354	1060476	1207729	1543739	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648
dpclk frequence address f3: 00040d01
ch\de	d0-h0	d1-h2	d2-h4	d3-h6	d4-h8	d5-ha	d6-hc	d7-he	d8-h10	d9-h12	d10-h14	d11-h16	d12-h18	d13-h1a	d14-h1c	d15-h1e	d16-h20	d17-h22	d18-h24	d19-h26	d20-h28	d21-h2a	d22-h2c	d23-h2e	d24-h30	d25-h32	d26-h34	d27-h36	d28-h38	d29-h3a	d30-h3c	d31-h3e	d0-h0	d1-h2	d2-h4	d3-h6	d4-h8	d5-ha	d6-hc	d7-he	d8-h10	d9-h12	d10-h14	d11-h16	d12-h18	d13-h1a	d14-h1c	d15-h1e	d16-h20	d17-h22	d18-h24	d19-h26	d20-h28	d21-h2a	d22-h2c	d23-h2e	d24-h30	d25-h32	d26-h34	d27-h36	d28-h38	d29-h3a	d30-h3c	d31-h3e
c0	2331648	2331648	2331648	2331648	2232984	1181682	1165824	983902	290324	15506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	3235	71487	487543	834889	1165825	1167273	1197239	1401102	1968023	2215086	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648
c1	2331648	2331648	2331648	2331648	2331648	1264023	1165878	1165824	874578	91577	346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1249	38014	407979	933816	1165836	1169278	1218560	1802412	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648
c2	2331648	2331648	2331648	2331648	1355344	1166441	1165824	482919	64657	2071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	9150	108568	508139	879754	992087	1280686	1728246	2293778	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648
c3	2331648	2331648	2331648	2120779	1230832	1137973	400644	39474	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4324	133667	587600	981689	1165844	1172948	1417097	1894055	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648
c4	2331648	2331648	2331648	2331648	2326678	1200363	1165867	937389	132035	2794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	748	31171	366653	797796	1026522	1055775	1373655	1690446	2287647	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648
c5	2331648	2331648	2331648	2229847	1258036	1165827	913207	557091	82689	1325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	720	31741	294414	357613	680528	973338	1204614	1836206	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648
