dpclk frequence address f3: 00030c01
ch\de	d0-h0	d1-h2	d2-h4	d3-h6	d4-h8	d5-ha	d6-hc	d7-he	d8-h10	d9-h12	d10-h14	d11-h16	d12-h18	d13-h1a	d14-h1c	d15-h1e	d16-h20	d17-h22	d18-h24	d19-h26	d20-h28	d21-h2a	d22-h2c	d23-h2e	d24-h30	d25-h32	d26-h34	d27-h36	d28-h38	d29-h3a	d30-h3c	d31-h3e	d0-h0	d1-h2	d2-h4	d3-h6	d4-h8	d5-ha	d6-hc	d7-he	d8-h10	d9-h12	d10-h14	d11-h16	d12-h18	d13-h1a	d14-h1c	d15-h1e	d16-h20	d17-h22	d18-h24	d19-h26	d20-h28	d21-h2a	d22-h2c	d23-h2e	d24-h30	d25-h32	d26-h34	d27-h36	d28-h38	d29-h3a	d30-h3c	d31-h3e
c0	64768	64768	64768	64768	64768	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	453	1282	2708	37390	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768
c1	64768	64768	64768	64768	64768	39659	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	18	1025	23132	61665	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768
c2	64768	64768	64768	64768	2328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	1009	17888	2376	52472	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768
c3	64768	64768	64768	64768	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	212	2208	3286	33277	64362	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768
c4	64768	64768	64768	64768	6635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	1239	1315	1766	23295	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768
c5	64768	64768	64768	64768	61026	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	422	1723	17137	36364	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768
c6	64768	64768	64768	64768	64768	1332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	406	1262	18715	33546	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768
c7	64768	64768	64768	64768	64768	1985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	63	504	10638	27845	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768
dpclk frequence address f3: 00030d01
ch\de	d0-h0	d1-h2	d2-h4	d3-h6	d4-h8	d5-ha	d6-hc	d7-he	d8-h10	d9-h12	d10-h14	d11-h16	d12-h18	d13-h1a	d14-h1c	d15-h1e	d16-h20	d17-h22	d18-h24	d19-h26	d20-h28	d21-h2a	d22-h2c	d23-h2e	d24-h30	d25-h32	d26-h34	d27-h36	d28-h38	d29-h3a	d30-h3c	d31-h3e	d0-h0	d1-h2	d2-h4	d3-h6	d4-h8	d5-ha	d6-hc	d7-he	d8-h10	d9-h12	d10-h14	d11-h16	d12-h18	d13-h1a	d14-h1c	d15-h1e	d16-h20	d17-h22	d18-h24	d19-h26	d20-h28	d21-h2a	d22-h2c	d23-h2e	d24-h30	d25-h32	d26-h34	d27-h36	d28-h38	d29-h3a	d30-h3c	d31-h3e
