dpclk frequence address f3: 00040c01
ch\de   d0-h0   d1-h2   d2-h4   d3-h6   d4-h8   d5-ha   d6-hc   d7-he   d8-h10  d9-h12  d10-h14 d11-h16 d12-h18 d13-h1a d14-h1c d15-h1e d16-h20 d17-h22 d18-h24 d19-h26 d20-h28 d21-h2a d22-h2c d23-h2e d24-h30 d25-h32 d26-h34 d27-h36 d28-h38 d29-h3a d30-h3c d31-h3e d0-h0   d1-h2   d2-h4   d3-h6   d4-h8   d5-ha   d6-hc   d7-he   d8-h10  d9-h12  d10-h14 d11-h16 d12-h18 d13-h1a d14-h1c d15-h1e d16-h20 d17-h22 d18-h24 d19-h26 d20-h28 d21-h2a d22-h2c d23-h2e d24-h30 d25-h32 d26-h34 d27-h36 d28-h38 d29-h3a d30-h3c d31-h3e
c0	1036288	1036288	1036288	1036288	1036288	1036288	781956	410875	204545	62025	3097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	427	2496	126140	404767	641640	264356	411017	1023720	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288
c1	1036288	1036288	1036288	1036288	1036288	1036288	787844	547977	289377	126934	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	137816	2088	484244	650886	706252	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288
c2	1036288	1036288	1036288	1036288	689728	110914	23736	3512	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	360	152248	46695	162090	329976	852779	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288
c3	1036288	1036288	1036288	1036288	1036288	634793	198350	68090	18718	2098	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	573	12794	2876	505260	304495	354479	172856	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288
c4	1036288	1036288	1036288	1036288	1036288	985730	560216	246925	9650	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1207	50813	7107	126753	143123	918214	648849	1020147	1033237	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288
c5	1036288	1036288	1036288	1036288	1005904	351964	115198	64768	937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65137	68913	157194	229036	195927	1019619	953686	946825	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288
c6	1036288	1036288	1036288	1036288	1036288	876213	442188	218513	13611	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	924	255912	172602	173180	1036288	819186	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288
c7	1036288	1036288	1036288	1036288	1036288	869582	523597	207404	10265	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	378	12	8839	35666	74236	371287	945751	583307	1018498	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288
dpclk frequence address f3: 00040d01
ch\de   d0-h0   d1-h2   d2-h4   d3-h6   d4-h8   d5-ha   d6-hc   d7-he   d8-h10  d9-h12  d10-h14 d11-h16 d12-h18 d13-h1a d14-h1c d15-h1e d16-h20 d17-h22 d18-h24 d19-h26 d20-h28 d21-h2a d22-h2c d23-h2e d24-h30 d25-h32 d26-h34 d27-h36 d28-h38 d29-h3a d30-h3c d31-h3e d0-h0   d1-h2   d2-h4   d3-h6   d4-h8   d5-ha   d6-hc   d7-he   d8-h10  d9-h12  d10-h14 d11-h16 d12-h18 d13-h1a d14-h1c d15-h1e d16-h20 d17-h22 d18-h24 d19-h26 d20-h28 d21-h2a d22-h2c d23-h2e d24-h30 d25-h32 d26-h34 d27-h36 d28-h38 d29-h3a d30-h3c d31-h3e
